0
""
AAC(1)
AAC(3)-IIa
AAC(3)-IIb
AAC(3)-IIc
AAC(3)-IV
AAC(3)-Ib
AAC(3)-VIa
AAC(6')-30/AAC(6')-Ib'
AAC(6')-IIc
AAC(6')-Ia
AAC(6')-Iaf
AAC(6')-Ib
AAC(6')-Ib-cr
AAC(6')-Ib10
AAC(6')-Ib4
AAC(6')-Ib7
AAC(6')-Ib8
AAC(6')-Ib9
AAC(6')-Ie-APH(2'')-Ia
AAC(6')-Ip
ACT-32
ANT(2'')-Ia
ANT(3'')-Ii-AAC(6')-Iid
ANT(4')-Ib
ANT(6)-Ia
ANT(6)-Ib
ANT(9)-Ia
APH(2'')-IIa
APH(3'')-Ib
APH(3')-IIIa
APH(3')-IIa
APH(3')-Ia
APH(3')-VI
APH(3')-VIa
APH(4)-Ia
APH(6)-Ic
APH(6)-Id
CARB-1
CARB-3
CFE-1
CMY-10
CMY-108
CMY-111
CMY-12
CMY-13
CMY-17
CMY-2
CMY-20
CMY-21
CMY-22
CMY-33
CMY-34
CMY-39
CMY-4
CMY-42
CMY-47
CMY-48
CMY-55
CMY-59
CMY-6
CMY-60
CMY-61
CMY-7
CMY-82
CRP
CTX-M-1
CTX-M-10
CTX-M-101
CTX-M-11
CTX-M-125
CTX-M-132
CTX-M-134
CTX-M-14
CTX-M-15
CTX-M-158
CTX-M-19
CTX-M-2
CTX-M-22
CTX-M-23
CTX-M-24
CTX-M-27
CTX-M-28
CTX-M-3
CTX-M-30
CTX-M-32
CTX-M-35
CTX-M-43
CTX-M-44
CTX-M-52
CTX-M-53
CTX-M-55
CTX-M-58
CTX-M-61
CTX-M-64
CTX-M-65
CTX-M-67
CTX-M-71
CTX-M-8
CTX-M-9
CTX-M-98
DHA-1
DHA-13
DHA-16
DHA-21
DHA-7
EreA
EreA2
EreB
Erm(33)
Erm(42)
ErmA
ErmB
ErmC
ErmG
FosA2
FosA3
FosA4
FosA5
GES-5
GlpT
H-NS
IMP-1
IMP-6
KPC-2
KPC-3
KPC-4
MCR-1
MOX-2
Mrx
NDM-1
NDM-4
NDM-5
NDM-7
NDM-9
OKP-B-1
OXA-1
OXA-10
OXA-101
OXA-162
OXA-181
OXA-2
OXA-232
OXA-244
OXA-320
OXA-47
OXA-48
OXA-9
OmpK35
OmpK36
PhoP
PmrB
PmrC
PmrE
PmrF
QnrA1
QnrB1
QnrB10
QnrB19
QnrB20
QnrB38
QnrB4
QnrB44
QnrB5
QnrB6
QnrD1
QnrS1
